quality_attribute,keyword,matched_word,sentence,source,author,repo,version,url
Usability,clear,clearly,The Gasteiger model has clearly,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1371#issuecomment-281808308
Usability,simpl,simple,Sorry for taking so long to fix this--pretty simple in the end.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/411#issuecomment-281774550
Usability,feedback,feedback,feedback on whether this works.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1395#issuecomment-281809806
Usability,simpl,simple,"To fix in your version, it's a simple edit",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/428#issuecomment-281774845
Usability,clear,clear,It's also not very clear to newcomers what DATADIR should,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/432#issuecomment-281774927
Usability,simpl,simple,"class declarations, but this is not so simple and might",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/432#issuecomment-281774929
Usability,simpl,simplify,comments should go in a new report to simplify bug tracking.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/432#issuecomment-281774932
Usability,simpl,simple,"Yes, the algorithm is simple indeed.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1398#issuecomment-281809846
Usability,guid,guidelines,IUPAC has started some projects to produce guidelines that,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1400#issuecomment-281809870
Usability,simpl,simple,All atomic expressions which are not simple primitives must be enclosed,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/441#issuecomment-281775112
Usability,clear,clear,"I'm still tracing the problem, but thanks for the report -- it's clear there",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/443#issuecomment-281775149
Usability,simpl,simply,seems pretty serious (assuming it's not simply missing,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/443#issuecomment-281775152
Usability,clear,clearly,"bond at C1*=C5, which is impossible because C1* is clearly",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/446#issuecomment-281775220
Usability,simpl,simply,"The ""gdb"" program is a debugging tool, the ""run"" command simply runs babel",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/492#issuecomment-281776018
Usability,feedback,feedback,(6) I agree that more feedback is needed to help the user,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1441#issuecomment-281810307
Usability,feedback,feedback,Thanks for all the feedback.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/514#issuecomment-281776403
Usability,feedback,feedback,"Many thanks for the persistent feedback -- it wasn't a ""leak"" but more a",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/514#issuecomment-281776403
Usability,simpl,simple,particularly bad because it loses aromaticity on a simple,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/516#issuecomment-281776442
Usability,clear,clearly,"Well, there's clearly a bug with www.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/534#issuecomment-281776754
Usability,undo,undocumented,"As far as I can tell, HIN is undocumented, so any",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/543#issuecomment-281776925
Usability,simpl,simply,"""@@"" specification in SMARTS was simply",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/553#issuecomment-281777242
Usability,simpl,simplier,Another (simplier) example:,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/555#issuecomment-281777254
Usability,simpl,simplified,"Actually, the simplified case, shows how the bug occurs:",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/555#issuecomment-281777258
Usability,simpl,simply,"we simply called OBMol::Center() and were done,",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/558#issuecomment-281777305
Usability,clear,clear,"// Now I output the molecule, which shows a clear translation.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/558#issuecomment-281777311
Usability,learn,learn,one language to learn (cmake) and not four.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1469#issuecomment-281810562
Usability,simpl,simple,"(self compiled on Mac), a simple PDB with a Mn atom gets converted to a Xx atom in an XYZ file.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/570#issuecomment-281777487
Usability,simpl,simply,"(it's not ready yet), it's silly to complain about ""bugs"" that are simply unimplemented.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/572#issuecomment-281777511
Usability,clear,clearly,"I can confirm this bug, although it's clearly a very recent regression in the 2.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/582#issuecomment-281777667
Usability,simpl,simpler,The Boost code is large and complex and I preferred the very much simpler self-written approach.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/585#issuecomment-281777717
Usability,learn,learn,"Noel, I can work with you to re-implement the SMARTS -- if you can help me learn the double-bond stereo code in the trunk.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1479#issuecomment-281810663
Usability,simpl,simply,"In other words, it's not simply an obmm program problem (nor should it be).",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/610#issuecomment-281778185
Usability,simpl,simply,These methods simply create pointers -- they're convenience functions.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/613#issuecomment-281778223
Usability,clear,clearly,"However, ""went strange and hang Babel"" is clearly a problem.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/615#issuecomment-281778253
Usability,guid,guide,"Yes, you're correct -- the default should be ""at least one,"" according to the Daylight guide.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/626#issuecomment-281778495
Usability,simpl,simply,The revised code simply adds a test if the atom is part of a 3D molecule -- in which case it does not need to check bonds to the atom for wedge/hash flags.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/635#issuecomment-281778708
Usability,simpl,simply,"Note that I have not looked at the gz stuff, I am simply talking about regular files, for which Ahmet said he had the same problem.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/636#issuecomment-281778876
Usability,pause,pause,"system(""pause"");",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/639#issuecomment-281778896
Usability,simpl,simply,"At this point, atmid is simply ""O"" whereas the code (according to the comment on line 272) expects it to be "" O"" for a single character element.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/639#issuecomment-281778896
Usability,simpl,simply,"The original problem remained, but has been resolved simply by defining a vector of OBAtom* in the interface file.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/639#issuecomment-281778898
Usability,clear,clearly,"(If this doesn't mean anything to you, let me know and I will explain more clearly.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/643#issuecomment-281778914
Usability,clear,cleared,"The issue is that WriteMolecule was modified, not ReadMolecule, so the molecule was cleared before writing.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/646#issuecomment-281778962
Usability,clear,clearly,"We clearly fixed the first report, which will be in 2.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/652#issuecomment-281779046
Usability,clear,clear,"As to vectorization, it might indeed improve speed, I don't know (3x3 might be a too small size, and isn't a power of two, so it isn't clear to me that vectorization will help).",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1485#issuecomment-281810737
Usability,feedback,feedback,"Thanks for the feedback, sorry for the inconvenience.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/658#issuecomment-281779121
Usability,simpl,simply,"drawn by hand) than the inactives, and can be simply identified by common elements in their title.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/1486#issuecomment-281810760
Usability,simpl,simpler,"I like the two-pass approach, since it's simpler.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/660#issuecomment-281779169
Usability,simpl,simply,I've looked at a couple of solutions; the best one is simply to add the following to the Python scripting interface.,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/661#issuecomment-281779196
Usability,simpl,simplified,A simplified molecule showing the same behaviour is Cn2ccc(nc2=O) .,MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/667#issuecomment-281779285
Usability,simpl,simple,"The simple cases are fixed in SVN trunk, but the full case is harder.",MatchSource.ISSUE_COMMENT,openbabel,openbabel,openbabel-3-1-1,https://github.com/openbabel/openbabel/issues/667#issuecomment-281779286
